event_url,event_name,event_winner,event_weight_class,event_winning_method,event_total_rounds,event_total_seconds,event_date,fighter1_url,fighter1_name,fighter1_knockdown,fighter1_landed_significant_strikes,fighter1_total_significant_strikes,fighter1_success_takedown,fighter1_total_attempted_takedown,fighter1_submission_attempt,fighter1_control_time_in_seconds,fighter1_significant_strikes_breakdown_head,fighter1_significant_strikes_breakdown_head_total,fighter1_significant_strikes_breakdown_body,fighter1_significant_strikes_breakdown_body_total,fighter1_significant_strikes_breakdown_leg,fighter1_significant_strikes_breakdown_leg_total,fighter1_significant_strikes_breakdown_distance,fighter1_significant_strikes_breakdown_distance_total,fighter1_significant_strikes_breakdown_clinch,fighter1_significant_strikes_breakdown_clinch_total,fighter1_significant_strikes_breakdown_ground,fighter1_significant_strikes_breakdown_ground_total,fighter1_significant_strikes_absorbed_per_minute,fighter1_weight_lbs,fighter1_average_takedown_landed_per_15_minutes,fighter1_reach_cm,fighter1_significant_strikes_per_minute,fighter1_average_submission_landed_per_15_minutes,fighter1_significant_striking_accuracy,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_stance,fighter1_significant_strikes_pct,fighter1_age,fighter1_significant_strike_defence,fighter1_birthdate,fighter1_takedown_pct,fighter1_height_cm,fighter2_url,fighter2_name,fighter2_knockdown,fighter2_landed_significant_strikes,fighter2_total_significant_strikes,fighter2_success_takedown,fighter2_total_attempted_takedown,fighter2_submission_attempt,fighter2_control_time_in_seconds,fighter2_significant_strikes_breakdown_head,fighter2_significant_strikes_breakdown_head_total,fighter2_significant_strikes_breakdown_body,fighter2_significant_strikes_breakdown_body_total,fighter2_significant_strikes_breakdown_leg,fighter2_significant_strikes_breakdown_leg_total,fighter2_significant_strikes_breakdown_distance,fighter2_significant_strikes_breakdown_distance_total,fighter2_significant_strikes_breakdown_clinch,fighter2_significant_strikes_breakdown_clinch_total,fighter2_significant_strikes_breakdown_ground,fighter2_significant_strikes_breakdown_ground_total,fighter2_significant_strikes_absorbed_per_minute,fighter2_weight_lbs,fighter2_average_takedown_landed_per_15_minutes,fighter2_reach_cm,fighter2_significant_strikes_per_minute,fighter2_average_submission_landed_per_15_minutes,fighter2_significant_striking_accuracy,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_stance,fighter2_significant_strikes_pct,fighter2_age,fighter2_significant_strike_defence,fighter2_birthdate,fighter2_takedown_pct,fighter2_height_cm
http://ufcstats.com/fight-details/15ce105716441c54,UFC Fight Night: Dos Anjos vs. Edwards,Walt Harris,Heavyweight Bout,KO/TKO,1,12,2019-07-20,http://ufcstats.com/fighter-details/98c23cb6da5b3352,Aleksei Oleinik,0,1,3,0,0,0,0,0,1,1,1,0,1,1,3,0,0,0,0,4.99,240,0.01,203.2,3.53,0.01,0.518,0.391,0.667,Orthodox,33.33,42.0807666,0.62,1977-06-20,,187.96,http://ufcstats.com/fighter-details/03f982ca3735070c,Walt Harris,1,4,7,0,0,0,1,2,5,2,2,0,0,2,5,0,0,2,2,2.06,250,0,195.58,2.92,0,0.38,0.333,0.609,Southpaw,57.14,36.10951403,0.482,1983-06-10,,195.58
http://ufcstats.com/fight-details/9fa3623172adb4cd,UFC Fight Night: Hermansson vs. Cannonier,John Phillips,Middleweight Bout,KO/TKO,1,17,2019-09-28,http://ufcstats.com/fighter-details/70fa1c64a2c439ef,Alen Amedovski,0,2,11,0,0,0,0,2,11,0,0,0,0,2,11,0,0,0,0,5.53,185,0,187.96,0.4,0,0.353,,,Orthodox,18.18,31.4770705,0.668,1988-04-06,,177.8,http://ufcstats.com/fighter-details/e9ac7bfb65c25497,John Phillips,1,5,8,0,0,0,2,4,7,1,1,0,0,3,6,0,0,2,2,0.18,185,0,190.5,2.51,0,0.332,,,Southpaw,62.5,34.30253251,0.647,1985-06-09,,180.34
http://ufcstats.com/fight-details/ef6841f685b32d4d,DWCS 6.1,Alessandro Costa,Flyweight Bout,Decision - Split,3,900,2022-07-26,http://ufcstats.com/fighter-details/3fa97913cfd205d3,Alessandro Costa,1,45,131,0,0,0,16,20,93,12,19,13,19,43,126,2,4,0,1,,125,,170.18,,,,,,Orthodox,34.35,26.49144422,,1996-01-28,,162.56,http://ufcstats.com/fighter-details/1fd9f744105024a8,Juan Andres Luna,0,49,155,0,4,0,37,27,118,15,29,7,8,49,154,0,1,0,0,,125,,182.88,,,,,,Orthodox,31.61,26.93223819,,1995-08-20,0,170.18
http://ufcstats.com/fight-details/fe0f1b418e6d3ecb,UFC 301: Pantoja vs. Erceg,Alessandro Costa,Flyweight Bout,KO/TKO,2,395,2024-05-04,http://ufcstats.com/fighter-details/3fa97913cfd205d3,Alessandro Costa,1,46,86,0,2,0,43,32,66,2,5,12,15,25,55,1,3,20,28,3.36,125,0,170.18,3.75,0,0.464,0.167,1,Orthodox,53.49,28.26557153,0.586,1996-01-28,0,162.56,http://ufcstats.com/fighter-details/34b96d52db1d26e6,Kevin Borjas,0,18,56,0,2,0,0,12,45,5,10,1,1,18,55,0,1,0,0,6.03,125,0,172.72,5.4,0,0.414,0,0.833,Orthodox,32.14,26.40930869,0.536,1997-12-06,0,165.1
http://ufcstats.com/fight-details/e24c8aab497b4fe1,UFC Fight Night: Barboza vs. Chikadze,Abdul Razak Alhassan,Middleweight Bout,KO/TKO,1,17,2021-08-28,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,0,1,2,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,1.97,185,0.01,187.96,3.3,0,0.411,0.458,0.714,Orthodox,50,31.70978782,0.522,1989-12-12,,182.88,http://ufcstats.com/fighter-details/eae431e70064e046,Abdul Razak Alhassan,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,6.07,185,0,185.42,3.62,0,0.478,0.286,0.542,Orthodox,100,36.04654346,0.589,1985-08-11,,177.8
http://ufcstats.com/fight-details/fcb225f454ebf1a1,UFC Fight Night: Rothwell vs Dos Santos,Bojan Velickovic,Middleweight Bout,Decision - Unanimous,3,900,2016-04-10,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,0,65,148,2,3,0,27,40,111,16,25,9,12,61,142,2,3,2,3,,185,,187.96,,,,,,Orthodox,43.92,26.32717317,,1989-12-12,66.67,182.88,http://ufcstats.com/fighter-details/fcce75a25c14a804,Bojan Velickovic,0,45,135,1,5,1,46,16,89,9,17,20,29,43,131,2,4,0,0,,170,,193.04,,,,,,Southpaw,33.33,27.3100616,,1988-12-18,20,182.88
http://ufcstats.com/fight-details/760b90b0805e0fbf,The Ultimate Fighter: Undefeated Finale,Alessio Di Chirico,Middleweight Bout,Decision - Split,3,900,2018-07-06,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,0,50,116,4,6,0,238,30,90,14,19,6,7,48,107,1,2,1,7,1.7,185,0.01,187.96,3.37,0,0.412,0.5,1,Orthodox,43.1,28.56399726,0.492,1989-12-12,66.67,182.88,http://ufcstats.com/fighter-details/d0e1b42d41dab603,Julian Marquez,0,47,147,0,1,2,3,28,120,16,21,3,6,42,141,5,6,0,0,8.85,185,0,182.88,4.46,0.02,0.508,0,0.5,Orthodox,31.97,28.1615332,0.588,1990-05-08,0,187.96
http://ufcstats.com/fight-details/d5e927306f5d859b,UFC Fight Night: Hermansson vs. Cannonier,Makhmud Muradov,Middleweight Bout,Decision - Unanimous,3,900,2019-09-28,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,0,36,113,0,2,0,43,31,100,0,4,5,9,30,104,6,9,0,0,,185,0.01,187.96,3.37,0,0.447,0.55,,Orthodox,31.86,29.79329227,,1989-12-12,0,182.88,http://ufcstats.com/fighter-details/ea7e5bc78d9de658,Makhmud Muradov,0,54,169,0,3,0,38,32,133,19,32,3,4,49,160,5,9,0,0,,185,,190.5,,,,,0.45,Orthodox,31.95,29.63449692,0.553,1990-02-08,0,187.96
http://ufcstats.com/fight-details/1e3c67921162561d,UFC Fight Night: Lawler vs. Dos Anjos,Alessio Di Chirico,Middleweight Bout,KO/TKO,2,434,2017-12-16,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,1,6,37,1,1,0,2,4,30,1,4,1,3,3,32,3,5,0,0,2.11,185,0.01,187.96,3.94,0,0.444,0.444,0.6,Orthodox,16.22,28.0109514,0.531,1989-12-12,100,182.88,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,Oluwale Bamgbose,0,10,17,0,1,0,0,5,11,1,2,4,4,9,16,1,1,0,0,5.16,185,0.01,198.12,2.76,0,0.469,0.4,0.556,Switch,58.82,30.36824093,0.556,1987-08-04,0,180.34
http://ufcstats.com/fight-details/1a191251620a84ca,UFC Fight Night: Gane vs. Tuivasa,Roman Kopylov,Middleweight Bout,KO/TKO,3,669,2022-09-03,http://ufcstats.com/fighter-details/77d7295d1b22c694,Alessio Di Chirico,0,39,126,0,4,0,62,29,109,6,12,4,5,38,123,1,3,0,0,0.77,185,0.01,187.96,3.3,0,0.411,0.458,0.667,Orthodox,30.95,32.72553046,0.58,1989-12-12,0,182.88,http://ufcstats.com/fighter-details/9d83f6da776ff7d6,Roman Kopylov,1,59,122,0,0,0,1,37,100,12,12,10,10,55,118,4,4,0,0,11.58,185,0,190.5,2.72,0,0.42,0.333,0.542,Southpaw,48.36,31.33470226,0.589,1991-05-04,,182.88
